rlwrap ../../../tools/serial-io/serialdump -b115200 /dev/ttyUSB0
59;0;917;246;1540;497;
[INFO: Main      ] Starting Contiki-NG-develop/v4.6-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: TSCH
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 TSCH default hopping sequence length: 4
[INFO: Main      ] Node ID: 58205
[INFO: Main      ] Link-layer address: 0012.4b00.1932.e35d
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1932:e35d
[INFO: Zoul      ] Zolertia RE-Mote revision B platform
sec;CPU;LPM;Deep;Tx;Rx
19;0;284;76;924;895;
39;0;601;161;1951;1889;
59;0;917;246;2978;2884;
79;0;1234;332;4005;3879;
99;50;1519;417;5032;4873;
119;50;1835;502;6059;5868;
139;50;2151;587;7086;6862;
159;50;2468;672;8112;6962;
179;50;2784;757;8215;6962;
199;50;3101;842;8215;6962;
219;50;3417;928;8215;7061;
239;101;3702;1013;8215;7061;
259;101;4019;1098;8215;7061;
279;101;4335;1183;8215;7161;
299;101;4652;1268;8215;7161;
319;101;4968;1353;8215;7161;
339;101;5285;1438;8215;7260;
359;101;5601;1524;8215;7260;
379;101;5917;1609;8215;7260;
399;101;6234;1694;8215;7360;
419;101;6550;1779;8215;7360;
439;151;6835;1864;8215;7360;
459;151;7152;1949;8215;7459;
479;151;7468;2034;8215;7459;
499;151;7785;2119;8215;7459;
519;151;8101;2205;8215;7559;
539;151;8418;2290;8215;7559;
559;151;8734;2375;8215;7559;
579;151;9051;2460;8215;7658;
599;151;9367;2545;8215;7658;
619;151;9683;2630;8215;7758;
639;151;10000;2715;8215;7758;
659;202;10285;2801;8215;7758;
679;202;10601;2886;8215;7857;
699;202;10918;2971;8215;7857;
719;202;11234;3056;8215;7857;
739;202;11551;3141;8215;7956;
759;202;11867;3226;8215;7956;
779;202;12184;3311;8215;7956;
799;202;12500;3397;8215;8056;
819;202;12817;3482;8215;8056;
839;202;13133;3567;8215;8056;
859;253;13418;3652;8215;8155;
879;253;13734;3737;8215;8155;
899;253;14051;3822;8215;8155;
919;253;14367;3907;8215;8255;
939;253;14684;3993;8215;8255;
960;253;15000;4078;8215;8255;
979;253;15317;4163;8215;8354;
999;253;15633;4248;8215;8354;
1019;253;15950;4333;8215;8454;
1039;253;16266;4418;8215;8454;
1059;303;16551;4503;8215;8454;
1079;303;16867;4589;8215;8553;
1099;303;17184;4674;8215;8553;
1119;303;17500;4759;8215;8553;
1139;303;17817;4844;8215;8653;
1159;303;18133;4929;8215;8653;
1179;303;18450;5014;8215;8653;
1199;303;18766;5099;8215;8752;
1219;303;19083;5185;8215;8752;
1239;303;19399;5270;8215;8752;
1259;354;19684;5355;8215;8852;
1279;354;20000;5440;8215;8852;
1299;354;20317;5525;8215;8852;
1319;354;20633;5610;8215;8951;
1339;354;20950;5695;8215;8951;
1359;354;21266;5781;8215;8951;
1379;354;21583;5866;8215;9051;
1399;354;21899;5951;8215;9051;
1419;354;22216;6036;8215;9051;
1439;354;22532;6121;8215;9150;
1459;354;22849;6206;8215;9150;
1479;405;23133;6291;8215;9249;
1499;405;23450;6376;8215;9249;
1519;405;23766;6462;8215;9249;
1539;405;24083;6547;8215;9349;
1559;405;24399;6632;8215;9349;
1579;405;24716;6717;8215;9349;
1599;405;25032;6802;8215;9448;
1619;405;25349;6887;8215;9448;
1639;405;25665;6972;8215;9448;
1659;405;25982;7058;8215;9548;
1679;455;26267;7143;8215;9548;
1699;455;26583;7228;8215;9548;
1719;455;26899;7313;8215;9647;
1739;455;27216;7398;8215;9647;
1759;455;27532;7483;8215;9647;
1779;455;27849;7568;8215;9747;
1799;455;28165;7654;8215;9747;
1819;455;28482;7739;8215;9747;
1839;455;28798;7824;8215;9846;
